tic,Tmag,Teff,rad,sde,period,t0,depth_ppm,duration_hr,n_transits,rp_earth,oddeven_sigma,secondary_sigma,verdict
192642951,12.889,2820.0,0.128491,19.18,0.62594,4179.29447,2744.8,2.38,35,0.74,0.33,1.27,CANDIDATE
201688405,13.8444,2821.0,0.128664,15.71,0.69344,4180.24639,1715.5,3.6,32,0.58,0.07,2.64,CANDIDATE
229158672,13.6348,3059.0,0.160375,21.14,0.59469,4180.34367,1821.5,3.6,37,0.75,1.98,1.33,CANDIDATE
161174284,11.8795,2964.0,0.16374,13.69,0.50063,4179.7355,987.5,3.6,46,0.56,1.13,-6.78,CANDIDATE
161174286,11.7183,3008.0,0.165217,15.78,0.5,4179.7565,918.1,3.6,46,0.55,0.89,-7.42,CANDIDATE
410058152,13.91,3105.0,0.179776,13.41,0.5,4179.90113,2181.1,3.6,45,0.92,0.86,-6.34,CANDIDATE
80432138,13.9009,3093.0,0.182597,12.71,0.61844,4180.20869,1694.9,2.38,35,0.82,0.32,2.9,CANDIDATE
7129303,13.0812,3064.0,0.186814,8.08,7.52299,4185.6467,6809.7,0.72,3,1.68,0.11,1.04,CANDIDATE
234523931,13.2341,3127.0,0.193748,20.74,0.56844,4180.15732,1469.2,3.6,41,0.81,0.61,-1.51,CANDIDATE
396088793,12.9392,3159.0,0.205332,10.77,0.57875,4180.08782,717.0,3.6,39,0.6,0.28,-5.58,CANDIDATE
113233475,12.4532,3027.0,0.222541,18.53,0.71626,4179.56516,2258.7,3.6,32,1.15,1.7,-6.38,CANDIDATE
410058419,13.9897,3071.0,0.225395,23.6,0.58125,4179.6994,3515.7,3.6,37,1.46,0.15,-11.66,CANDIDATE
412050326,13.162,3110.0,0.233997,25.87,0.58813,4180.42831,2613.3,3.6,39,1.31,1.28,-3.38,CANDIDATE
129764950,13.0447,2945.0,0.235647,20.17,0.67657,4180.02644,8860.2,2.38,34,2.42,0.1,-17.79,CANDIDATE
155895287,13.4963,3067.0,0.241309,15.03,0.70844,4179.82981,3374.5,3.6,32,1.53,0.93,-4.69,CANDIDATE
281780792,12.8686,3179.0,0.247207,12.05,0.69688,4179.89317,776.4,3.6,34,0.75,0.02,-2.6,CANDIDATE
277751234,13.4223,3090.0,0.248673,13.02,0.515,4180.07198,1048.0,3.6,42,0.88,1.46,-2.7,CANDIDATE
201226029,13.5421,2948.0,0.250931,13.29,0.9147,4180.07665,2759.0,3.6,25,1.44,1.72,-3.04,CANDIDATE
265465650,11.9061,3363.0,0.255799,8.54,1.52878,4180.21714,1159.6,0.72,15,0.95,0.06,-0.62,CANDIDATE
352289599,12.0154,3387.0,0.259326,8.27,5.84701,4181.14363,2234.8,0.72,4,1.34,0.28,-0.67,CANDIDATE
262818859,13.4206,3024.0,0.26342,11.03,0.96689,4180.59517,1968.1,3.6,24,1.28,0.34,0.67,CANDIDATE
66410455,12.6447,3271.0,0.268407,8.03,0.93845,4180.28663,990.3,1.44,22,0.92,0.87,-0.13,CANDIDATE
161267354,13.6546,3166.0,0.273486,13.77,0.58781,4179.74249,1134.9,3.6,40,1.01,0.37,-2.91,CANDIDATE
100100909,13.167,2877.0,0.276574,19.52,0.53781,4180.18127,1987.9,2.38,42,1.35,0.08,-7.99,CANDIDATE
231828950,13.2583,3047.0,0.278478,25.84,0.61157,4179.94298,2138.8,3.6,38,1.41,0.63,-1.02,CANDIDATE
234497476,13.1658,3049.0,0.281191,8.3,1.04501,4180.31614,2038.9,3.6,21,1.39,1.35,-2.57,CANDIDATE
158637035,12.8948,3186.0,0.281879,8.7,0.68688,4180.30762,542.7,3.6,32,0.72,0.51,0.1,CANDIDATE
406173242,13.5876,2946.0,0.291089,18.35,0.69,4180.01209,5258.1,2.38,34,2.3,0.92,-13.38,CANDIDATE
281461138,13.0153,3036.0,0.293752,28.64,0.65125,4180.08072,11438.4,3.6,35,3.43,1.04,2.22,CANDIDATE
166283631,12.3397,3351.0,0.295793,9.2,0.62563,4180.13447,883.6,0.72,37,0.96,0.37,2.65,CANDIDATE
