tic,Tmag,Teff,rad,mass,d,fname,url
401984769,13.5085,2777.0,0.120014,0.0958371,,tess2026137223500-s0104-0000000401984769-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000401984769-0306-s_lc.fits
192642951,12.889,2820.0,0.128491,0.103483,11.2591,tess2026137223500-s0104-0000000192642951-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000192642951-0306-s_lc.fits
201688405,13.8444,2821.0,0.128664,0.103636,18.073,tess2026137223500-s0104-0000000201688405-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000201688405-0306-s_lc.fits
389051009,13.0324,2832.0,0.133847,0.108182,13.8649,tess2026137223500-s0104-0000000389051009-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000389051009-0306-s_lc.fits
175516858,12.5308,2972.0,0.13884,0.112541,14.2591,tess2026137223500-s0104-0000000175516858-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000175516858-0306-s_lc.fits
7150628,13.8558,2925.0,0.148379,0.120903,26.7185,tess2026137223500-s0104-0000000007150628-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000007150628-0306-s_lc.fits
206556679,13.6539,2884.0,0.152571,0.124613,23.1235,tess2026137223500-s0104-0000000206556679-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000206556679-0306-s_lc.fits
80315364,12.3746,2953.0,0.159724,0.131009,14.5996,tess2026137223500-s0104-0000000080315364-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000080315364-0306-s_lc.fits
229158672,13.6348,3059.0,0.160375,0.131596,28.3359,tess2026137223500-s0104-0000000229158672-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000229158672-0306-s_lc.fits
161174284,11.8795,2964.0,0.16374,0.134642,11.9089,tess2026137223500-s0104-0000000161174284-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000161174284-0306-s_lc.fits
